learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
41100.0,1.226971865,0.0,41100.0,47.0,3.512860097288162,-16.4835164835165,-39.47368421052632,10451.0,0.0,0.0,0.0
41200.0,1.229878893,0.0,41200.0,47.3,4.109987845440574,-17.897091722595096,-53.644314868804685,10551.0,0.0,0.0,0.0
41300.0,1.232924085,0.0,41300.0,48.0,4.8542623460743135,-18.181818181818198,-55.223880597014954,10651.0,0.0,0.0,0.0
41400.0,1.235876114,0.0,41400.0,48.199999999999996,4.864753676848702,-16.666666666666682,-55.08982035928146,10751.0,0.0,0.0,0.0
41500.0,1.238861918,0.0,41500.0,48.199999999999996,4.281110486946746,-15.883668903803146,-55.08982035928146,10851.0,0.0,0.0,0.0
41600.0,1.241739357,0.0,41600.0,48.1,3.862540103583942,-16.89189189189191,-53.55029585798818,10951.0,0.0,0.0,0.0
41700.0,1.245017352,0.0,41700.0,48.0,4.446894524072032,-17.381489841986472,-57.5757575757576,1524.0,0.0,1.0,0.0
41800.0,1.247652025,0.0,41800.0,52.1,9.170206310679612,-7.3991031390134605,-45.592705167173264,1624.0,0.0,0.0,0.0
41900.0,1.250318675,0.0,41900.0,56.8,15.476092647593992,0.9174311926605512,-34.579439252336485,1724.0,0.0,0.0,0.0
42000.0,1.253415504,0.0,42000.0,59.4,18.743770689317007,8.968609865470837,-24.159021406727852,60.0,0.0,1.0,0.0
42100.0,1.256672386,0.0,42100.0,62.6,23.5602137043865,15.384615384615374,-14.373088685015306,38.0,0.0,1.0,0.0
42200.0,1.259404599,0.0,42200.0,65.3,27.267696796425007,23.059866962305986,-3.8922155688622793,138.0,0.0,0.0,0.0
42300.0,1.262506466,0.0,42300.0,67.80000000000001,30.850241379902766,29.540481400437642,4.733727810650892,85.0,0.0,1.0,1.0
42400.0,1.265140602,0.0,42400.0,71.8,37.02545779365787,37.47228381374722,13.496932515337404,185.0,0.0,0.0,0.0
42500.0,1.267854615,0.0,42500.0,75.7,44.217437215922125,44.772727272727266,25.460122699386496,285.0,0.0,0.0,1.0
42600.0,1.270795868,0.0,42600.0,78.9,49.61795606494747,52.79642058165548,35.07692307692308,385.0,0.0,0.0,1.0
42700.0,1.273694783,0.0,42700.0,82.6,56.919816389286396,60.98654708520178,47.11246200607901,485.0,0.0,0.0,0.0
42800.0,1.276537284,0.0,42800.0,83.0,58.32679636021335,62.30598669623058,48.795180722891544,585.0,0.0,0.0,0.0
42900.0,1.279343072,0.0,42900.0,82.1,56.8491697683837,60.83150984682712,47.96511627906975,685.0,0.0,0.0,0.0
43000.0,1.282226238,0.0,43000.0,82.8,57.68112233600203,60.55045871559632,48.961424332344194,785.0,0.0,0.0,1.0
43100.0,1.285107365,0.0,43100.0,83.89999999999999,59.905167003695695,62.731481481481474,52.22551928783381,885.0,0.0,0.0,0.0
43200.0,1.287945254,0.0,43200.0,85.2,62.71194981230002,64.84560570071258,55.287009063444096,985.0,0.0,0.0,0.0
43300.0,1.290750005,0.0,43300.0,86.2,65.45388093104295,67.90697674418604,58.55855855855855,1085.0,0.0,0.0,0.0
43400.0,1.293522568,0.0,43400.0,85.9,64.47002378744506,66.90140845070422,57.5301204819277,1185.0,0.0,0.0,0.0
43500.0,1.32918032,0.0,43500.0,86.0,64.58206840720501,67.74193548387096,57.57575757575757,1285.0,0.0,0.0,2.0
43600.0,1.332136434,0.0,43600.0,86.7,66.33593196314669,69.1415313225058,59.45121951219512,1385.0,0.0,0.0,0.0
43700.0,1.335020149,0.0,43700.0,87.0,67.41348279682556,69.6969696969697,60.7250755287009,1485.0,0.0,0.0,0.0
43800.0,1.338123917,0.0,43800.0,86.9,67.28827272091652,68.88361045130641,60.66066066066066,1585.0,0.0,0.0,0.0
43900.0,1.341252136,0.0,43900.0,87.4,68.22562830037371,69.92840095465394,61.46788990825688,1685.0,0.0,0.0,0.0
44000.0,1.34425114,0.0,44000.0,88.0,69.59130716834252,71.69811320754718,62.732919254658384,1785.0,0.0,0.0,0.0
44100.0,1.347153255,0.0,44100.0,88.0,69.21766700698245,71.83098591549296,62.14511041009463,1885.0,0.0,0.0,0.0
44200.0,1.350111208,0.0,44200.0,87.3,67.61294666081828,71.00456621004567,60.55900621118012,1985.0,0.0,0.0,0.0
44300.0,1.352997936,0.0,44300.0,87.8,68.72372279989334,71.42857142857143,61.63522012578616,2085.0,0.0,0.0,0.0
44400.0,1.355888713,0.0,44400.0,87.8,68.48766627921994,70.88305489260144,61.269841269841265,2185.0,0.0,0.0,0.0
44500.0,1.358841616,0.0,44500.0,88.0,68.50062998740026,70.44334975369459,61.03896103896105,2285.0,0.0,0.0,0.0
44600.0,1.361623929,0.0,44600.0,87.6,67.66117254329231,69.6078431372549,60.25641025641026,2385.0,0.0,0.0,0.0
44700.0,1.364414155,0.0,44700.0,87.1,65.92025868901312,67.58793969849246,58.25242718446603,2485.0,0.0,0.0,0.0
44800.0,1.367196818,0.0,44800.0,86.7,65.00515713473804,66.91542288557214,57.371794871794876,2585.0,0.0,0.0,0.0
44900.0,1.369958344,0.0,44900.0,86.5,64.59777831391018,67.07317073170732,57.00636942675158,2685.0,0.0,0.0,0.0
45000.0,1.372840233,0.0,45000.0,86.7,65.5736516778315,68.02884615384616,58.30721003134796,2785.0,0.0,0.0,0.0
45100.0,1.375775586,0.0,45100.0,86.9,67.05728511793994,69.17647058823529,60.30303030303029,2885.0,0.0,0.0,0.0
45200.0,1.378659988,0.0,45200.0,86.9,66.81998703193386,68.6602870813397,59.938837920489284,2985.0,0.0,0.0,0.0
45300.0,1.381433851,0.0,45300.0,86.7,65.92015579357351,67.8743961352657,58.823529411764696,3085.0,0.0,0.0,0.0
45400.0,1.384327415,0.0,45400.0,87.2,66.76912852039544,69.08212560386474,59.49367088607595,3185.0,0.0,0.0,0.0
45500.0,1.387144679,0.0,45500.0,86.4,64.87875422875294,67.9245283018868,57.63239875389408,3285.0,0.0,0.0,0.0
45600.0,1.389907879,0.0,45600.0,86.6,65.1021673116689,68.69158878504673,57.728706624605664,3385.0,0.0,0.0,0.0
45700.0,1.392719655,0.0,45700.0,87.0,66.0972747424697,70.2517162471396,58.73015873015872,3485.0,0.0,0.0,0.0
45800.0,1.395519831,0.0,45800.0,87.2,66.76912852039544,71.36465324384787,59.49367088607595,3585.0,0.0,0.0,0.0
45900.0,1.398281707,0.0,45900.0,86.9,66.2405937532213,70.56179775280899,59.06249999999999,3685.0,0.0,0.0,0.0
